ccode,year
600,1996
615,1996
616,1996
620,1996
625,1996
630,1996
640,1996
645,1996
651,1996
652,1996
660,1996
663,1996
666,1996
670,1996
679,1996
690,1996
692,1996
694,1996
696,1996
698,1996
700,1996
701,1996
702,1996
703,1996
704,1996
705,1996
710,1996
712,1996
713,1996
731,1996
732,1996
740,1996
750,1996
760,1996
770,1996
771,1996
775,1996
780,1996
781,1996
790,1996
800,1996
811,1996
812,1996
816,1996
820,1996
830,1996
835,1996
840,1996
850,1996
900,1996
910,1996
920,1996
935,1996
940,1996
950,1996
983,1996
986,1996
987,1996
990,1996
2,1997
20,1997
31,1997
40,1997
41,1997
42,1997
51,1997
52,1997
53,1997
54,1997
55,1997
56,1997
57,1997
58,1997
60,1997
70,1997
80,1997
90,1997
91,1997
92,1997
93,1997
94,1997
95,1997
100,1997
101,1997
110,1997
115,1997
130,1997
135,1997
140,1997
145,1997
150,1997
155,1997
160,1997
165,1997
200,1997
205,1997
210,1997
211,1997
212,1997
220,1997
221,1997
223,1997
225,1997
230,1997
232,1997
235,1997
255,1997
290,1997
305,1997
310,1997
316,1997
317,1997
325,1997
331,1997
338,1997
339,1997
343,1997
344,1997
345,1997
346,1997
349,1997
350,1997
352,1997
355,1997
359,1997
360,1997
365,1997
366,1997
367,1997
368,1997
369,1997
370,1997
371,1997
372,1997
373,1997
375,1997
380,1997
385,1997
390,1997
395,1997
402,1997
403,1997
404,1997
411,1997
420,1997
432,1997
433,1997
434,1997
435,1997
436,1997
437,1997
438,1997
439,1997
450,1997
451,1997
452,1997
461,1997
471,1997
475,1997
481,1997
482,1997
483,1997
484,1997
490,1997
500,1997
501,1997
510,1997
516,1997
517,1997
520,1997
522,1997
530,1997
531,1997
540,1997
541,1997
551,1997
552,1997
553,1997
560,1997
565,1997
570,1997
571,1997
572,1997
580,1997
581,1997
590,1997
591,1997
600,1997
615,1997
616,1997
620,1997
625,1997
630,1997
640,1997
645,1997
651,1997
652,1997
660,1997
663,1997
666,1997
670,1997
679,1997
690,1997
692,1997
694,1997
696,1997
698,1997
700,1997
701,1997
702,1997
703,1997
704,1997
705,1997
710,1997
712,1997
713,1997
731,1997
732,1997
740,1997
750,1997
760,1997
770,1997
771,1997
775,1997
780,1997
781,1997
790,1997
800,1997
811,1997
812,1997
816,1997
820,1997
830,1997
835,1997
840,1997
850,1997
900,1997
910,1997
920,1997
935,1997
940,1997
950,1997
983,1997
986,1997
987,1997
990,1997
2,1998
20,1998
31,1998
40,1998
41,1998
42,1998
51,1998
52,1998
53,1998
54,1998
55,1998
56,1998
57,1998
58,1998
60,1998
70,1998
80,1998
90,1998
91,1998
92,1998
93,1998
94,1998
95,1998
100,1998
101,1998
110,1998
115,1998
130,1998
135,1998
140,1998
145,1998
150,1998
155,1998
160,1998
165,1998
200,1998
205,1998
210,1998
211,1998
212,1998
220,1998
221,1998
223,1998
225,1998
230,1998
232,1998
235,1998
255,1998
290,1998
305,1998
310,1998
316,1998
317,1998
325,1998
331,1998
338,1998
339,1998
343,1998
344,1998
345,1998
346,1998
349,1998
350,1998
352,1998
355,1998
359,1998
360,1998
365,1998
366,1998
367,1998
368,1998
369,1998
370,1998
371,1998
372,1998
373,1998
375,1998
380,1998
385,1998
390,1998
395,1998
402,1998
403,1998
404,1998
411,1998
420,1998
432,1998
433,1998
434,1998
435,1998
436,1998
437,1998
438,1998
439,1998
450,1998
451,1998
452,1998
461,1998
471,1998
475,1998
481,1998
482,1998
483,1998
484,1998
490,1998
500,1998
501,1998
510,1998
516,1998
517,1998
520,1998
522,1998
530,1998
531,1998
540,1998
541,1998
551,1998
552,1998
553,1998
560,1998
565,1998
570,1998
571,1998
572,1998
580,1998
581,1998
590,1998
591,1998
600,1998
615,1998
616,1998
620,1998
625,1998
630,1998
640,1998
645,1998
651,1998
652,1998
660,1998
663,1998
666,1998
670,1998
679,1998
690,1998
692,1998
694,1998
696,1998
698,1998
700,1998
701,1998
702,1998
703,1998
704,1998
705,1998
710,1998
712,1998
713,1998
731,1998
732,1998
740,1998
750,1998
760,1998
770,1998
771,1998
775,1998
780,1998
781,1998
790,1998
800,1998
811,1998
812,1998
816,1998
820,1998
830,1998
835,1998
840,1998
850,1998
900,1998
910,1998
920,1998
935,1998
940,1998
950,1998
983,1998
986,1998
987,1998
990,1998
2,1999
20,1999
31,1999
40,1999
41,1999
42,1999
51,1999
52,1999
53,1999
54,1999
55,1999
56,1999
57,1999
58,1999
60,1999
70,1999
80,1999
90,1999
91,1999
92,1999
93,1999
94,1999
95,1999
100,1999
101,1999
110,1999
115,1999
130,1999
135,1999
140,1999
145,1999
150,1999
155,1999
160,1999
165,1999
200,1999
205,1999
210,1999
211,1999
212,1999
220,1999
221,1999
223,1999
225,1999
230,1999
232,1999
235,1999
255,1999
290,1999
305,1999
310,1999
316,1999
317,1999
325,1999
331,1999
338,1999
339,1999
343,1999
344,1999
345,1999
346,1999
349,1999
350,1999
352,1999
355,1999
359,1999
360,1999
365,1999
366,1999
367,1999
368,1999
369,1999
370,1999
371,1999
372,1999
373,1999
375,1999
380,1999
385,1999
390,1999
395,1999
402,1999
403,1999
404,1999
411,1999
420,1999
432,1999
433,1999
434,1999
435,1999
436,1999
437,1999
438,1999
439,1999
450,1999
451,1999
452,1999
461,1999
471,1999
475,1999
481,1999
482,1999
483,1999
484,1999
490,1999
500,1999
501,1999
510,1999
516,1999
517,1999
520,1999
522,1999
530,1999
531,1999
540,1999
541,1999
551,1999
552,1999
553,1999
560,1999
565,1999
570,1999
571,1999
572,1999
580,1999
581,1999
590,1999
591,1999
600,1999
615,1999
616,1999
620,1999
625,1999
630,1999
640,1999
645,1999
651,1999
652,1999
660,1999
663,1999
666,1999
670,1999
679,1999
690,1999
692,1999
694,1999
696,1999
698,1999
700,1999
701,1999
702,1999
703,1999
704,1999
705,1999
710,1999
712,1999
713,1999
731,1999
732,1999
740,1999
750,1999
760,1999
770,1999
771,1999
775,1999
780,1999
781,1999
790,1999
800,1999
811,1999
812,1999
816,1999
820,1999
830,1999
835,1999
840,1999
850,1999
900,1999
910,1999
920,1999
935,1999
940,1999
946,1999
950,1999
955,1999
970,1999
983,1999
986,1999
987,1999
990,1999
2,2000
20,2000
31,2000
40,2000
41,2000
42,2000
51,2000
52,2000
53,2000
54,2000
55,2000
56,2000
57,2000
58,2000
60,2000
70,2000
80,2000
90,2000
91,2000
92,2000
93,2000
94,2000
95,2000
100,2000
101,2000
110,2000
115,2000
130,2000
135,2000
140,2000
145,2000
150,2000
155,2000
160,2000
165,2000
200,2000
205,2000
210,2000
211,2000
212,2000
220,2000
221,2000
223,2000
225,2000
230,2000
232,2000
235,2000
255,2000
290,2000
305,2000
310,2000
316,2000
317,2000
325,2000
331,2000
338,2000
339,2000
343,2000
344,2000
345,2000
