ccode,year,ingo_uia,polity2,xrcomp,xropen,xconst,parcomp,physint,disap,kill,polpris,tort,injud,amnesty,pop,gdppc,rentspc,military,execrlc,trade_gdp,fdi_net_in,public_trial,fair_trial,final_decision,legislative_ck,structad,imfstruct,wbimfstruct,britcol,common,hr_law,cat_ratify,cpr_ratify,ythblgap,latent,latent_sd,cwar,iwar,aibr_lag,ainr_lag,avmdia_lag,hro_shaming_lag,physint_lag,amnesty_lag,disap_lag,kill_lag,polpris_lag,tort_lag,latent_lag
51,1984,5.950642552587727,10,3,4,7,5,6,2,1,2,1,2,2,7.760969886561686,7.8187037664456165,0.0,0,1,4.763785046845573,0.513994872570038,1,1,0,-1,0,1,1,1,1,0,0,1,35.4000015258789,0.377516048497534,0.230714364671018,0,0,0,0,0.0,2,7,1,1,2,2,2,0.612860744143869
51,1985,5.950642552587727,10,3,4,7,5,6,2,1,2,1,2,2,7.771261078213549,7.786593333805641,0.0,0,1,4.800367151586688,-0.428522646427155,1,1,0,-1,1,1,1,1,1,0,0,1,35.5999984741211,0.296423408836461,0.223951021189299,0,0,12,0,2.0,0,6,2,2,1,2,1,0.377516048497534
51,1986,5.910796644040527,10,3,4,7,5,7,2,2,2,1,2,2,7.7808670742623205,7.893993626430026,0.0,0,1,4.551025540320342,-0.166996449232101,1,1,0,-1,0,0,0,1,1,0,0,1,34.7000007629395,0.28373774094422,0.223773233264846,0,0,3,0,0.0,0,6,2,2,1,2,1,0.296423408836461
51,1987,6.0112671744041615,10,3,4,7,5,5,2,1,1,1,2,1,7.7886882269751965,8.002396359497448,0.0,0,1,4.531192315891312,1.62457811832428,1,1,0,-1,1,1,1,1,1,0,0,1,33.7999992370605,0.264099317473899,0.227543656907737,0,0,0,0,0.0,0,7,2,2,2,2,1,0.28373774094422
51,1988,6.075346031088684,10,3,4,7,5,7,2,2,2,1,2,3,7.794806677579103,8.091633533406636,0.0,0,1,4.515436629110393,-0.313451558351517,1,1,0,-1,0,1,1,1,1,0,0,1,33.0,0.198986840882286,0.221775417907107,0,0,1,2,0.0,0,5,1,2,1,1,1,0.264099317473899
51,1989,6.102558594613569,10,3,4,7,5,7,2,2,2,1,2,2,7.801301299873158,8.13950763371652,0.0,0,1,4.564455235680417,1.29627251625061,1,1,0,-1,0,0,0,1,1,0,0,1,32.2000007629395,0.225152824088635,0.223497201815977,0,0,2,1,0.0,0,7,3,2,2,2,1,0.198986840882286
51,1990,6.135564891081739,10,3,4,7,5,6,2,1,2,1,2,2,7.809305907334538,8.233816504145002,0.0,0,3,4.604571709817808,3.0029125213623,1,1,0,-1,1,1,1,1,1,0,0,1,31.3999996185303,0.117434211272606,0.216604676790434,0,0,5,1,0.0,0,7,2,2,2,2,1,0.225152824088635
51,1991,6.137727054086234,10,3,4,7,5,6,2,2,2,0,2,1,7.818027938530729,8.25964451337785,0.0,0,3,4.621031580352362,3.24387049674988,1,1,0,-1,1,1,1,1,1,0,0,1,31.0,-0.0453052371812607,0.22105100413759,0,0,0,0,0.0,0,6,2,2,1,2,1,0.117434211272606
51,1992,6.137727054086234,10,3,4,7,5,5,2,1,2,0,2,3,7.826231620670142,8.326257842203571,0.0,0,3,4.832260528309675,4.02777290344238,1,1,0,-1,0,1,1,1,1,0,0,1,30.7000007629395,-0.231595260520126,0.209369712052175,0,0,3,0,0.0,0,6,1,2,2,2,0,-0.0453052371812607
51,1993,6.171700597410915,9,3,4,7,4,4,2,1,1,0,2,2,7.834127026239172,8.3754337553782765,0.0,0,3,4.634947031810775,1.59265112876892,1,1,0,-1,1,0,1,1,1,0,0,1,30.2999992370605,-0.187416077797499,0.208728113294035,0,0,1,0,0.0,0,5,3,2,1,2,0,-0.231595260520126
51,1994,6.184148890937483,9,3,4,7,4,5,2,1,2,0,2,1,7.842706810044212,8.388661849108669,0.0,0,3,4.689299357839574,2.62649893760681,1,1,0,-1,0,0,0,1,1,0,0,1,30.0,-0.0488283280454327,0.214401142304468,0,0,11,0,0.0,0,4,2,2,1,1,0,-0.187416077797499
