year,month,n_events,n_dissent_events,frac_dissent_events,pi,eta
1995.0,10.0,62661.0,163.0,0.002601299053637829,0.12201437080852612,-4.254140734907885
1995.0,11.0,61922.0,182.0,0.0029391815509834953,0.12092575786093432,-4.27262498753631
1995.0,12.0,53338.0,126.0,0.002362293299336308,0.12315731351452805,-4.16497460174044
1996.0,1.0,63265.0,153.0,0.0024183987987038648,0.11777601868242718,-4.300834009799274
1996.0,2.0,59585.0,169.0,0.0028362842997398676,0.12194293481040075,-4.230954336208693
1996.0,3.0,64788.0,202.0,0.003117861332345496,0.1175605184061035,-4.315956334294631
1996.0,4.0,64136.0,204.0,0.0031807409255332417,0.130069328593243,-4.134318209480142
1996.0,5.0,64382.0,169.0,0.0026249572861980056,0.1286080114007117,-4.1886720684685255
1996.0,6.0,62616.0,132.0,0.0021080873898045227,0.11790003109251626,-4.384012223488407
1996.0,7.0,61652.0,136.0,0.0022059300590410694,0.1248668303673042,-4.2477727776923215
1996.0,8.0,56860.0,182.0,0.003200844178684488,0.11911604495081607,-4.257016969767919
1996.0,9.0,63643.0,141.0,0.0022154832424618577,0.11658270491083908,-4.361526115868787
1996.0,10.0,67810.0,155.0,0.0022857985547854297,0.11271586881295481,-4.39687474635955
1996.0,11.0,61392.0,112.0,0.0018243419338024498,0.11998410635611008,-4.353657554298775
1996.0,12.0,56525.0,162.0,0.0028659885006634233,0.1316816113262517,-4.118744144739138
1997.0,1.0,66384.0,182.0,0.0027416244878283925,0.11680986155167056,-4.312180249426933
1997.0,2.0,61486.0,155.0,0.002520899066454152,0.1168730183059586,-4.380958308803408
1997.0,3.0,66580.0,226.0,0.003394412736557525,0.1233436947373434,-4.288926523540025
1997.0,4.0,71732.0,147.0,0.0020492945965538394,0.1255973565387553,-4.244278264149191
1997.0,5.0,69718.0,205.0,0.0029404171089245246,0.11782910443929218,-4.33103454084692
1997.0,6.0,69175.0,183.0,0.0026454644018792917,0.1193033240338556,-4.309645509190592
1997.0,7.0,69527.0,159.0,0.0022868813554446474,0.11929710955007788,-4.29175262482262
1997.0,8.0,57336.0,123.0,0.00214524905818334,0.11951184154069139,-4.266942961758331
1997.0,9.0,69287.0,115.0,0.0016597630147069436,0.11350646125925012,-4.426705043799746
1997.0,10.0,72968.0,124.0,0.0016993750685231881,0.11090751736195995,-4.462412796963927
1997.0,11.0,64969.0,123.0,0.001893210608136188,0.11176066153706515,-4.445487630177493
1997.0,12.0,60012.0,118.0,0.0019662734119842698,0.12956394821344278,-4.132617476647284
1998.0,1.0,63575.0,124.0,0.001950452221785293,0.12299545076392863,-4.249210491473971
1998.0,2.0,64552.0,139.0,0.002153302763663403,0.11497265008053913,-4.396726252833819
1998.0,3.0,71318.0,131.0,0.0018368434336352673,0.11372366174808425,-4.423573222439575
1998.0,4.0,63645.0,122.0,0.0019168827087752377,0.12207589279614804,-4.233235486675114
1998.0,5.0,65480.0,145.0,0.0022144166157605375,0.11052503405460387,-4.397046091371312
1998.0,6.0,68731.0,120.0,0.0017459370589690242,0.12244858096110237,-4.315083896082994
1998.0,7.0,64656.0,128.0,0.001979707993071022,0.11916929417800758,-4.286645603486749
1998.0,8.0,59647.0,119.0,0.001995071001056214,0.12499272243921936,-4.279335832050614
1998.0,9.0,67669.0,115.0,0.0016994487874802348,0.12139763951713829,-4.3368441509570825
1998.0,10.0,64518.0,113.0,0.0017514492079729687,0.12401018048347291,-4.290195934241791
1998.0,11.0,62401.0,123.0,0.0019711222576561274,0.12219417452803603,-4.293122996386309
1998.0,12.0,58072.0,118.0,0.002031960325113652,0.13839970706918078,-4.044683065489044
1999.0,1.0,60421.0,115.0,0.001903311762466692,0.12783966062641972,-4.1891436431561795
1999.0,2.0,58361.0,132.0,0.0022617844108222956,0.12491965767940016,-4.2471259723484085
1999.0,3.0,68803.0,145.0,0.002107466244204468,0.12193501108188204,-4.271863681494306
1999.0,4.0,60990.0,88.0,0.0014428594851615018,0.12607069297094328,-4.236536647563098
1999.0,5.0,59946.0,119.0,0.001985119941280486,0.12693535481423032,-4.246247495679309
1999.0,6.0,63194.0,84.0,0.0013292401177326962,0.12025702308044363,-4.319563052795626
1999.0,7.0,61425.0,92.0,0.0014977614977614978,0.11610370295010228,-4.343148909917851
1999.0,8.0,54590.0,98.0,0.0017952005861879465,0.12891783025041575,-4.142668942598138
1999.0,9.0,61804.0,110.0,0.0017798200763704615,0.13248320008151304,-4.152567680745372
1999.0,10.0,59427.0,130.0,0.002187557844077608,0.1329125003074945,-4.143249630211612
1999.0,11.0,59613.0,109.0,0.001828460235183601,0.12401777721798739,-4.242399752189546
1999.0,12.0,54043.0,98.0,0.0018133708343356216,0.13595551467251535,-4.0842663149252685
2e3,1.0,62705.0,122.0,0.0019456183717406906,0.13799986200599046,-4.147829656288848
2e3,2.0,66827.0,115.0,0.0017208613285049456,0.12529054736945666,-4.329342300186814
2e3,3.0,73404.0,107.0,0.0014576862296332624,0.11479319059644767,-4.423681950820387
2e3,4.0,61826.0,92.0,0.0014880470999255977,0.11803898072168297,-4.364693824315063
2e3,5.0,69012.0,214.0,0.003100909986668985,0.12768037511567165,-4.255987720729317
2e3,6.0,67277.0,128.0,0.0019025818630438336,0.11561152814515223,-4.411630601022165
2e3,7.0,64312.0,143.0,0.002223535265580296,0.11998879430214333,-4.314371041384644
2e3,8.0,61559.0,104.0,0.001689436150684709,0.11765582115410937,-4.303186271098447
2e3,9.0,61952.0,113.0,0.0018239927685950413,0.12307176679729434,-4.318365235488819
2e3,10.0,64328.0,124.0,0.0019276209426688222,0.12726426388697612,-4.274160641387435
2e3,11.0,64912.0,117.0,0.0018024402267685482,0.11758919272617481,-4.351503168658586
2e3,12.0,53481.0,103.0,0.0019259176156018025,0.1363261811403631,-4.014299591921768
2001.0,1.0,66329.0,115.0,0.0017337816038233654,0.13044344562715107,-4.1919621702163115
2001.0,2.0,65044.0,125.0,0.0019217760285345305,0.1279366308089812,-4.231190726411793
2001.0,3.0,71609.0,107.0,0.0014942255861693362,0.11918551309750099,-4.360210322259355
2001.0,4.0,67059.0,137.0,0.0020429770798848774,0.13702571201913574,-4.107528399734027
2001.0,5.0,65791.0,118.0,0.0017935583894453648,0.1320346313818,-4.213025734111409
2001.0,6.0,64949.0,126.0,0.0019399836795023788,0.13446092495496073,-4.156196460762506
2001.0,7.0,65887.0,135.0,0.0020489626178153506,0.13204309007413462,-4.166844851211715
2001.0,8.0,62109.0,126.0,0.0020286914939863787,0.13847642564942333,-4.0938084933929915
2001.0,9.0,68637.0,152.0,0.0022145490041814184,0.14268626079880606,-4.077131932620111
2001.0,10.0,75760.0,145.0,0.0019139387539598733,0.14466706512182093,-4.0497560981351945
2001.0,11.0,65416.0,163.0,0.0024917451388039623,0.14400918406112406,-4.039012882649816
2001.0,12.0,52559.0,119.0,0.0022641222245476512,0.1517278490680892,-3.851696916368726
